B,alg,inst,d,banda,h0,semilla,exito,evals,cruda,simple,t
100,HC,30,10,0,10,2,1,21,10,10,1.1328999789839145e-05
100,HC,30,10,0,10,3,1,43,10,10,2.3684999632678227e-05
100,HC,30,10,0,10,4,1,21,10,10,1.0940999800368445e-05
100,HC,30,10,0,10,5,1,21,10,10,1.1428000107116532e-05
100,HC,30,10,0,10,6,1,21,10,10,1.088799990611733e-05
100,HC,30,10,0,10,7,1,21,10,10,1.0511000255064573e-05
100,HC,30,10,0,10,8,1,71,10,10,4.068999987794086e-05
100,HC,30,10,0,10,9,1,21,10,10,1.099600012821611e-05
100,HC,31,6,0,6,0,1,29,10,10,2.3786999918229412e-05
100,HC,31,6,0,6,1,1,29,10,10,1.765200022418867e-05
100,HC,31,6,0,6,2,1,15,6,6,7.828999969206052e-06
100,HC,31,6,0,6,3,1,26,10,10,3.540799980328302e-05
100,HC,31,6,0,6,4,1,27,6,6,2.7210000098421006e-05
100,HC,31,6,0,6,5,1,15,6,6,9.370000043418258e-06
100,HC,31,6,0,6,6,1,15,6,6,8.022999736567726e-06
100,HC,31,6,0,6,7,1,49,10,10,3.2511999961570837e-05
100,HC,31,6,0,6,8,1,24,6,6,1.7952000234799925e-05
100,HC,31,6,0,6,9,1,29,10,10,1.780499997039442e-05
100,HC,32,10,0,8,0,1,31,12,12,1.9360000351298368e-05
100,HC,32,10,0,8,1,1,21,10,10,1.2917000276502222e-05
100,HC,32,10,0,8,2,1,66,12,12,3.402999982426991e-05
100,HC,32,10,0,8,3,0,100,,,5.721600018659956e-05
100,HC,32,10,0,8,4,1,21,10,10,1.3079000382276718e-05
100,HC,32,10,0,8,5,1,21,10,10,1.2643999980355147e-05
100,HC,32,10,0,8,6,1,73,12,12,4.2313999983889516e-05
100,HC,32,10,0,8,7,1,26,10,10,1.7008999748213682e-05
100,HC,32,10,0,8,8,1,70,12,12,4.100999967704411e-05
100,HC,32,10,0,8,9,1,42,12,12,2.313699997102958e-05
100,HC,33,9,0,9,0,1,66,9,9,4.211699979350669e-05
100,HC,33,9,0,9,1,1,67,9,9,4.018299978270079e-05
100,HC,33,9,0,9,2,1,43,9,9,2.7507999675435713e-05
100,HC,33,9,0,9,3,0,100,,,6.418899965865421e-05
100,HC,33,9,0,9,4,1,35,9,9,1.9481999970594188e-05
100,HC,33,9,0,9,5,1,68,9,9,4.480100005821441e-05
100,HC,33,9,0,9,6,1,25,9,9,1.699699987511849e-05
100,HC,33,9,0,9,7,1,20,9,9,1.048400008585304e-05
100,HC,33,9,0,9,8,1,30,9,9,3.8502000279549975e-05
100,HC,33,9,0,9,9,1,20,9,9,1.2162000075477408e-05
100,HC,34,10,0,8,0,0,100,,,6.268700008149608e-05
100,HC,34,10,0,8,1,1,21,10,10,1.4246000318962615e-05
100,HC,34,10,0,8,2,0,100,,,6.178300009196391e-05
100,HC,34,10,0,8,3,1,27,10,10,1.8629999885888537e-05
100,HC,34,10,0,8,4,0,100,,,5.805299997518887e-05
100,HC,34,10,0,8,5,1,83,10,10,5.026500002713874e-05
100,HC,34,10,0,8,6,1,48,10,10,2.9178000204410637e-05
100,HC,34,10,0,8,7,1,21,10,10,1.2497000170696992e-05
100,HC,34,10,0,8,8,1,21,10,10,1.2154000160080614e-05
100,HC,34,10,0,8,9,1,70,10,10,4.1603999761719024e-05
100,HC,35,10,0,8,0,0,100,,,6.303899999693385e-05
100,HC,35,10,0,8,1,0,100,,,6.528300036734436e-05
100,HC,35,10,0,8,2,0,100,,,6.0758000017813174e-05
100,HC,35,10,0,8,3,0,100,,,6.269300001804368e-05
100,HC,35,10,0,8,4,0,100,,,5.966700018689153e-05
100,HC,35,10,0,8,5,0,100,,,6.6607999997359e-05
100,HC,35,10,0,8,6,0,100,,,6.973800009291153e-05
100,HC,35,10,0,8,7,0,100,,,6.384200014508679e-05
100,HC,35,10,0,8,8,0,100,,,6.305599981715204e-05
100,HC,35,10,0,8,9,0,100,,,6.540899994433858e-05
100,HC,36,6,0,6,0,1,13,6,6,8.6840000221855e-06
100,HC,36,6,0,6,1,1,13,6,6,8.379000064451247e-06
100,HC,36,6,0,6,2,1,13,6,6,7.794999874022324e-06
100,HC,36,6,0,6,3,1,13,6,6,8.164000064425636e-06
100,HC,36,6,0,6,4,1,13,6,6,7.521000043198001e-06
100,HC,36,6,0,6,5,1,13,6,6,7.4269996730436105e-06
100,HC,36,6,0,6,6,1,13,6,6,7.324999842239777e-06
100,HC,36,6,0,6,7,1,13,6,6,7.517000085499603e-06
100,HC,36,6,0,6,8,1,13,6,6,7.275999905687058e-06
100,HC,36,6,0,6,9,1,13,6,6,7.284999810508452e-06
100,HC,37,9,0,5,0,0,100,,,6.96350002726831e-05
100,HC,37,9,0,5,1,0,100,,,6.94710001880594e-05
100,HC,37,9,0,5,2,0,100,,,0.0001038340001286997
100,HC,37,9,0,5,3,0,100,,,6.959299980735523e-05
100,HC,37,9,0,5,4,0,100,,,7.241399998747511e-05
100,HC,37,9,0,5,5,0,100,,,9.270200007449603e-05
100,HC,37,9,0,5,6,0,100,,,6.862400005047675e-05
100,HC,37,9,0,5,7,0,100,,,6.761700024071615e-05
100,HC,37,9,0,5,8,0,100,,,6.793699958507204e-05
100,HC,37,9,0,5,9,0,100,,,6.667700017715106e-05
100,HC,38,9,0,9,0,1,69,9,9,4.4240000079298625e-05
100,HC,38,9,0,9,1,1,92,9,9,5.5963000249903416e-05
100,HC,38,9,0,9,2,0,100,,,5.649699960486032e-05
100,HC,38,9,0,9,3,1,20,9,9,1.0500999906071229e-05
100,HC,38,9,0,9,4,1,87,9,9,5.0351000027148984e-05
100,HC,38,9,0,9,5,1,94,9,9,5.251499987934949e-05
100,HC,38,9,0,9,6,1,20,9,9,1.122899993788451e-05
100,HC,38,9,0,9,7,0,100,,,5.8910000007017516e-05
100,HC,38,9,0,9,8,0,100,,,5.903999999645748e-05
100,HC,38,9,0,9,9,1,20,9,9,1.1481000001367647e-05
100,HC,39,10,0,10,0,1,17,10,10,1.1581999842746882e-05
100,HC,39,10,0,10,1,1,17,10,10,1.0259999726258684e-05
100,HC,39,10,0,10,2,1,17,10,10,1.079300000128569e-05
100,HC,39,10,0,10,3,1,17,10,10,3.379499958100496e-05
100,HC,39,10,0,10,4,1,17,10,10,1.2229999811097514e-05
100,HC,39,10,0,10,5,1,17,10,10,1.0575000032986281e-05
100,HC,39,10,0,10,6,1,17,10,10,1.031300007525715e-05
100,HC,39,10,0,10,7,1,17,10,10,9.944999874278437e-06
